,channel_num,img_coding,num_layer,num_cell,start_cell_dim,parameter_num,acc,error_rate
23,13,"['rerp', 'ctwav', 'regad', 'trgas', 'gas', 'rp', 'trgad', 'mk', 'trrp', 'remk', 'regas', 'gad', 'trmk']",[2],[1],[16],35006,90.0,0.09999999999999998
76,7,"['rerp', 'gad', 'regad', 'regas', 'trmk', 'mk', 'trgad']",[2],[1],[24],63308,90.0,0.09999999999999998
114,3,"['ctwav', 'rp', 'rerp']",[2],[2],[12],25820,90.0,0.09999999999999998
158,1,['rerp'],[2],[1],[48],219638,90.0,0.09999999999999998
178,3,"['trgas', 'trgad', 'gas']",[2],[1],[12],15911,90.0,0.09999999999999998
189,2,"['rerp', 'trmk']",[3],[1],[20],174157,90.0,0.09999999999999998
236,13,"['regas', 'gad', 'trgad', 'trrp', 'remk', 'trmk', 'rerp', 'regad', 'trgas', 'gas', 'ctwav', 'rp', 'mk']",[2],[1],[12],21791,90.0,0.09999999999999998
252,2,"['rerp', 'remk']",[3],[1],[24],249596,90.0,0.09999999999999998
276,1,['remk'],[2],[2],[96],1471250,90.0,0.09999999999999998
305,3,"['trgas', 'mk', 'rerp']",[3],[1],[12],64475,90.0,0.09999999999999998
314,2,"['trgas', 'trgad']",[2],[2],[24],95966,90.0,0.09999999999999998
352,1,['rerp'],[3],[2],[12],103892,90.0,0.09999999999999998
