,img_coding,num_layer,num_cell,start_cell_dim,parameter_num,acc,f-1_score,roc_auc_score,time
0,"['trrp', 'gas', 'regas', 'trgas', 'mk', 'ctwav']",4,1,24,1024604,76.97841726618705,0,0.6092032967032966,45
1,"['rp', 'rerp', 'gad', 'regad', 'trgad', 'remk', 'trmk']",3,2,17,236224,78.41726618705036,0,0.6662087912087913,132
2,"['rp', 'rerp', 'trrp', 'gas', 'regad', 'trgad', 'mk', 'trmk']",3,2,14,145440,75.53956834532374,0,0.656456043956044,137
3,"['regas', 'trgas', 'gad', 'remk', 'ctwav']",2,3,20,97187,75.53956834532374,0,0.5427197802197802,131
4,"['rp', 'rerp', 'trrp', 'regas', 'trgad', 'ctwav']",2,2,19,71252,76.97841726618705,0,0.5997252747252747,98
5,"['gas', 'trgas', 'gad', 'regad', 'mk', 'remk', 'trmk']",4,1,13,352924,74.10071942446044,0,0.6184065934065934,118
6,"['trrp', 'trgas', 'regad', 'trmk']",2,3,16,62694,74.10071942446044,0,0.6278846153846154,134
7,"['rp', 'rerp', 'gas', 'regas', 'gad', 'trgad', 'mk', 'remk', 'ctwav']",4,2,23,1670102,78.41726618705036,0,0.6282967032967033,80
8,"['rp', 'rerp', 'regas', 'regad', 'mk', 'ctwav']",2,3,13,49900,77.6978417266187,0,0.5666208791208791,133
9,"['trrp', 'gas', 'trgas', 'gad', 'trgad', 'remk', 'trmk']",4,2,20,1161152,76.2589928057554,0,0.6707417582417583,72
10,"['trgas', 'trgad', 'mk', 'trmk']",2,3,23,136856,72.66187050359713,0,0.5803571428571429,133
11,"['rp', 'rerp', 'trrp', 'gas', 'regas', 'gad', 'regad', 'remk', 'ctwav']",4,1,17,581739,76.97841726618705,0,0.6186813186813187,126
12,"['gas', 'regas', 'trgas', 'regad', 'trgad', 'ctwav']",4,1,16,458686,78.41726618705036,0,0.6377747252747253,116
13,"['rp', 'rerp', 'trrp', 'gad', 'mk', 'remk', 'trmk']",3,3,22,484402,69.7841726618705,0,0.6085164835164835,189
14,"['rp', 'rerp', 'gas', 'trmk']",3,1,19,176117,74.10071942446044,0,0.6184065934065934,92
15,"['trrp', 'regas', 'trgas', 'gad', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",2,2,12,29348,76.97841726618705,0,0.6281593406593406,104
16,"['rerp', 'gas', 'trgas', 'remk', 'ctwav']",4,3,20,1605767,72.66187050359713,0,0.532967032967033,99
17,"['rp', 'trrp', 'regas', 'gad', 'regad', 'trgad', 'mk', 'trmk']",3,1,14,90466,75.53956834532374,0,0.6375,90
18,"['rp', 'gas', 'regas', 'regad', 'trgad', 'remk', 'trmk']",3,3,17,326561,77.6978417266187,0,0.6519230769230769,178
19,"['rerp', 'trrp', 'trgas', 'gad', 'mk', 'ctwav']",2,2,24,100670,74.10071942446044,0,0.5615384615384615,101
20,"['rp', 'trgad', 'mk', 'remk', 'ctwav']",2,1,22,51740,74.82014388489209,0,0.5853021978021977,64
21,"['rerp', 'trrp', 'gas', 'regas', 'trgas', 'gad', 'regad', 'trmk']",3,2,15,188554,74.82014388489209,0,0.6042582417582418,137
22,"['rerp', 'regas', 'trgas', 'regad', 'mk', 'remk', 'trmk']",3,2,12,107420,73.38129496402878,0,0.6135989010989011,139
23,"['rp', 'trrp', 'gas', 'gad', 'trgad', 'ctwav']",4,3,18,1303295,77.6978417266187,0,0.604532967032967,98
24,"['rp', 'trrp', 'regad', 'remk', 'ctwav']",2,1,18,35637,75.53956834532374,0,0.5332417582417581,62
25,"['rerp', 'gas', 'regas', 'trgas', 'gad', 'trgad', 'mk', 'trmk']",4,3,24,2310896,78.41726618705036,0,0.6756868131868132,97
26,"['rerp', 'trrp', 'regas', 'trgas', 'trgad', 'remk', 'trmk']",2,1,21,53896,75.53956834532374,0,0.5521978021978021,62
27,"['rp', 'gas', 'gad', 'regad', 'mk', 'ctwav']",4,2,14,571992,74.82014388489209,0,0.5853021978021977,171
28,"['rerp', 'trrp', 'gas', 'trgas', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",4,3,12,585365,76.2589928057554,0,0.6043956043956044,239
29,"['rp', 'regas', 'gad', 'trmk']",3,2,19,287452,76.2589928057554,0,0.6328296703296704,135
30,"['rp', 'trrp', 'gas', 'regas', 'mk', 'remk', 'trmk']",3,3,22,484402,71.94244604316546,0,0.6324175824175824,171
31,"['rerp', 'trgas', 'gad', 'regad', 'trgad', 'ctwav']",2,1,16,29518,77.6978417266187,0,0.632967032967033,62
32,"['rp', 'rerp', 'trrp', 'trgas', 'remk', 'trmk', 'ctwav']",4,3,12,584189,77.6978417266187,0,0.661401098901099,230
33,"['gas', 'regas', 'gad', 'regad', 'trgad', 'mk']",3,2,18,235342,78.41726618705036,0,0.6662087912087913,133
34,"['trrp', 'regas', 'regad', 'trgad', 'remk']",3,3,21,482246,82.01438848920863,0,0.7186813186813188,170
35,"['rp', 'rerp', 'gas', 'trgas', 'gad', 'mk', 'trmk', 'ctwav']",2,1,15,31086,76.2589928057554,0,0.5759615384615384,63
36,"['trrp', 'gas', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",2,1,17,37401,75.53956834532374,0,0.5711538461538461,65
37,"['rp', 'rerp', 'regas', 'trgas', 'gad', 'regad']",4,3,23,2308544,77.6978417266187,0,0.661401098901099,98
38,"['rp', 'rerp', 'trrp', 'gas', 'regas', 'trgas', 'regad', 'mk', 'remk']",2,1,20,47277,75.53956834532374,0,0.6185439560439562,59
39,"['gad', 'trgad', 'trmk', 'ctwav']",4,2,14,570620,72.66187050359713,0,0.5708791208791207,156
40,"['gas', 'regad', 'remk', 'trmk', 'ctwav']",2,1,22,51740,76.2589928057554,0,0.5759615384615384,63
41,"['rp', 'rerp', 'trrp', 'regas', 'trgas', 'gad', 'trgad', 'mk']",3,2,16,188554,76.2589928057554,0,0.6138736263736263,134
42,"['rp', 'rerp', 'gas', 'regas', 'trgas', 'trgad', 'remk']",3,1,13,89780,74.82014388489209,0,0.6137362637362638,93
43,"['trrp', 'gad', 'regad', 'mk', 'trmk', 'ctwav']",4,3,19,1606747,76.2589928057554,0,0.5949175824175824,94
44,"['rp', 'rerp', 'trgas', 'regad', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",4,3,21,1944894,73.38129496402878,0,0.5946428571428571,96
45,"['trrp', 'gas', 'regas', 'gad']",3,1,15,113822,76.2589928057554,0,0.6233516483516485,88
46,"['regas', 'mk', 'remk']",3,3,18,323033,77.6978417266187,0,0.6708791208791208,160
47,"['rp', 'rerp', 'trrp', 'gas', 'trgas', 'gad', 'regad', 'trgad', 'trmk', 'ctwav']",2,2,24,105374,74.10071942446044,0,0.5899725274725274,105
48,"['rp', 'regas', 'trgas', 'mk', 'trmk', 'ctwav']",4,1,16,458686,74.82014388489209,0,0.6137362637362638,108
49,"['rerp', 'trrp', 'gas', 'gad', 'regad', 'trgad', 'remk']",3,3,23,575096,79.85611510791367,0,0.675824175824176,154
50,"['rerp', 'regad', 'trgad', 'mk']",3,1,19,176117,78.41726618705036,0,0.6188186813186812,88
51,"['rp', 'trrp', 'gas', 'regas', 'trgas', 'gad', 'remk', 'trmk', 'ctwav']",2,2,13,38606,71.94244604316546,0,0.6703296703296703,102
52,"['rerp', 'gas', 'regas', 'trgad', 'trmk', 'ctwav']",2,3,14,49900,75.53956834532374,0,0.599587912087912,125
53,"['rp', 'trrp', 'trgas', 'gad', 'regad', 'mk', 'remk']",4,2,21,1402930,69.06474820143885,0,0.6321428571428571,65
54,"['rp', 'gas', 'trgas', 'regad']",2,3,24,136856,75.53956834532374,0,0.599587912087912,122
55,"['rerp', 'trrp', 'regas', 'gad', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",4,1,17,581739,76.97841726618705,0,0.5997252747252747,122
56,"['rerp', 'trrp', 'gas', 'regas', 'regad', 'mk', 'trmk', 'ctwav']",2,2,19,73212,76.97841726618705,0,0.5807692307692307,98
57,"['rp', 'trgas', 'gad', 'trgad', 'remk']",3,1,12,65651,77.6978417266187,0,0.6708791208791208,87
58,"['rp', 'trrp', 'gas', 'trgas', 'trgad', 'mk']",2,3,15,64262,80.57553956834532,0,0.6616758241758242,125
59,"['rerp', 'regas', 'gad', 'regad', 'remk', 'trmk', 'ctwav']",4,2,22,1402930,74.10071942446044,0,0.5804945054945054,61
60,"['rp', 'trrp', 'regas', 'trgas', 'regad', 'trgad', 'trmk', 'ctwav']",4,1,23,1026956,79.85611510791367,0,0.6568681318681319,46
61,"['rerp', 'gas', 'gad', 'mk', 'remk']",3,2,17,234460,74.82014388489209,0,0.5853021978021977,127
62,"['rerp', 'trrp']",3,2,13,141324,69.06474820143885,0,0.5278846153846154,128
