,img_coding,num_layer,num_cell,start_cell_dim,parameter_num,acc,f-1_score,roc_auc_score,time
0,"['trrp', 'gas', 'regas', 'trgas', 'mk', 'ctwav']",4,1,92,14894411,85.62300319488818,0,0.8504371269015983,5
1,"['rp', 'rerp', 'gad', 'regad', 'trgad', 'remk', 'trmk']",3,2,50,1769776,81.15015974440895,0,0.8036716092175363,2
2,"['rp', 'rerp', 'trrp', 'gas', 'regad', 'trgad', 'mk', 'trmk']",3,2,29,645736,81.30990415335464,0,0.8041466076128121,2
3,"['regas', 'trgas', 'gad', 'remk', 'ctwav']",2,3,70,1120228,80.43130990415335,0,0.8000243918094871,2
4,"['rp', 'rerp', 'trrp', 'regas', 'trgad', 'ctwav']",2,2,63,672930,78.91373801916933,0,0.7851954554207587,1
5,"['gas', 'trgas', 'gad', 'regad', 'mk', 'remk', 'trmk']",4,1,22,863122,82.42811501597444,0,0.8198010141857629,2
6,"['trrp', 'trgas', 'regad', 'trmk']",2,3,43,447141,77.63578274760384,0,0.7748533281982155,2
7,"['rp', 'rerp', 'gas', 'regas', 'gad', 'trgad', 'mk', 'remk', 'ctwav']",4,2,84,20249672,85.3035143769968,0,0.8455870081519995,4
8,"['rp', 'rerp', 'regas', 'regad', 'mk', 'ctwav']",2,3,24,139208,77.63578274760384,0,0.7665498427370179,2
9,"['trrp', 'gas', 'trgas', 'gad', 'trgad', 'remk', 'trmk']",4,2,65,12508420,85.78274760383387,0,0.8558187303421273,3
10,"['trgas', 'trgad', 'mk', 'trmk']",2,3,86,1678914,76.8370607028754,0,0.7610295911162464,2
11,"['rp', 'rerp', 'trrp', 'gas', 'regas', 'gad', 'regad', 'remk', 'ctwav']",4,1,45,3744528,86.18210862619809,0,0.8558739328583349,2
12,"['gas', 'regas', 'trgas', 'regad', 'trgad', 'ctwav']",4,1,38,2554808,85.54313099041534,0,0.8549804223634381,2
13,"['rp', 'rerp', 'trrp', 'gad', 'mk', 'remk', 'trmk']",3,3,79,6258102,85.06389776357827,0,0.845377752102189,3
14,"['rp', 'rerp', 'gas', 'trmk']",3,1,58,1442911,81.30990415335464,0,0.8090532126580654,1
15,"['trrp', 'regas', 'trgas', 'gad', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",2,2,16,49242,72.12460063897764,0,0.7093998331086719,1
16,"['rerp', 'gas', 'trgas', 'remk', 'ctwav']",4,3,69,19490258,84.10543130990415,0,0.8317080685538225,5
17,"['rp', 'trrp', 'regas', 'gad', 'regad', 'trgad', 'mk', 'trmk']",3,1,25,299983,79.2332268370607,0,0.7823711406380385,1
18,"['rp', 'gas', 'regas', 'regad', 'trgad', 'remk', 'trmk']",3,3,47,2266478,77.79552715654953,0,0.7670248411322934,3
19,"['rerp', 'trrp', 'trgas', 'gad', 'mk', 'ctwav']",2,2,90,1315666,77.63578274760384,0,0.7722113100969255,1
20,"['rp', 'trgad', 'mk', 'remk', 'ctwav']",2,1,77,589662,76.51757188498402,0,0.768131459015341,1
21,"['rerp', 'trrp', 'gas', 'regas', 'trgas', 'gad', 'regad', 'trmk']",3,2,33,826490,81.78913738019169,0,0.8090942936003594,2
22,"['rerp', 'regas', 'trgas', 'regad', 'mk', 'remk', 'trmk']",3,2,13,144754,74.52076677316293,0,0.7397997304063163,2
23,"['rp', 'trrp', 'gas', 'gad', 'trgad', 'ctwav']",4,3,56,12488296,86.10223642172524,0,0.8543783298029398,5
24,"['rp', 'trrp', 'regad', 'remk', 'ctwav']",2,1,52,267477,78.75399361022365,0,0.7903819243853907,1
25,"['rerp', 'gas', 'regas', 'trgas', 'gad', 'trgad', 'mk', 'trmk']",4,3,96,36635834,86.66134185303514,0,0.8610732396174337,5
26,"['rerp', 'trrp', 'regas', 'trgas', 'trgad', 'remk', 'trmk']",2,1,75,568007,77.55591054313099,0,0.7709673278130817,1
27,"['rp', 'gas', 'gad', 'regad', 'mk', 'ctwav']",4,2,31,2953746,84.82428115015975,0,0.8430297194941909,3
28,"['rerp', 'trrp', 'gas', 'trgas', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",4,3,17,1305941,86.0223642172524,0,0.8552731240772835,5
29,"['rp', 'regas', 'gad', 'trmk']",3,2,61,2703232,79.7923322683706,0,0.7894434816098594,2
30,"['rp', 'trrp', 'gas', 'regas', 'mk', 'remk', 'trmk']",3,3,83,6896591,84.50479233226837,0,0.8439668784902753,3
31,"['rerp', 'trgas', 'gad', 'regad', 'trgad', 'ctwav']",2,1,39,163072,72.04472843450479,0,0.720107837473522,1
32,"['rp', 'rerp', 'trrp', 'trgas', 'remk', 'trmk', 'ctwav']",4,3,13,792432,87.06070287539936,0,0.864525322549586,5
