,img_coding,num_layer,num_cell,start_cell_dim,parameter_num,acc,time
0,"['trrp', 'gas', 'regas', 'trgas', 'mk', 'ctwav']",4,1,92,14945508,13.976793248945148,35
1,"['rp', 'rerp', 'gad', 'regad', 'trgad', 'remk', 'trmk']",3,2,50,1782763,16.19198312236287,29
2,"['rp', 'rerp', 'trrp', 'gas', 'regad', 'trgad', 'mk', 'trmk']",3,2,29,653543,16.877637130801688,65
3,"['regas', 'trgas', 'gad', 'remk', 'ctwav']",2,3,70,1128035,12.710970464135022,61
4,"['rp', 'rerp', 'trrp', 'regas', 'trgad', 'ctwav']",2,2,63,680071,17.352320675105485,43
5,"['gas', 'trgas', 'gad', 'regad', 'mk', 'remk', 'trmk']",4,1,22,875369,11.49789029535865,52
6,"['trrp', 'trgas', 'regad', 'trmk']",2,3,43,452062,15.40084388185654,60
7,"['rp', 'rerp', 'gas', 'regas', 'gad', 'trgad', 'mk', 'remk', 'ctwav']",4,2,84,20296329,14.662447257383967,42
8,"['rp', 'rerp', 'regas', 'regad', 'mk', 'ctwav']",2,3,24,141909,18.248945147679326,61
9,"['trrp', 'gas', 'trgas', 'gad', 'trgad', 'remk', 'trmk']",4,2,65,12545087,13.080168776371307,39
10,"['trgas', 'trgad', 'mk', 'trmk']",2,3,86,1688497,14.29324894514768,27
11,"['rp', 'rerp', 'trrp', 'gas', 'regas', 'gad', 'regad', 'remk', 'ctwav']",4,1,45,3770095,13.818565400843882,25
12,"['gas', 'regas', 'trgas', 'regad', 'trgad', 'ctwav']",4,1,38,2575935,12.921940928270041,23
13,"['rp', 'rerp', 'trrp', 'gad', 'mk', 'remk', 'trmk']",3,3,79,6278859,18.143459915611814,41
14,"['rp', 'rerp', 'gas', 'trmk']",3,1,58,1457970,16.930379746835442,38
15,"['trrp', 'regas', 'trgas', 'gad', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",2,2,16,51055,16.350210970464136,45
16,"['rerp', 'gas', 'trgas', 'remk', 'ctwav']",4,3,69,19529145,14.767932489451477,55
17,"['rp', 'trrp', 'regas', 'gad', 'regad', 'trgad', 'mk', 'trmk']",3,1,25,306754,17.352320675105485,39
18,"['rp', 'gas', 'regas', 'regad', 'trgad', 'remk', 'trmk']",3,3,47,2278947,15.50632911392405,41
19,"['rerp', 'trrp', 'trgas', 'gad', 'mk', 'ctwav']",2,2,90,1325693,17.352320675105485,44
20,"['rp', 'trgad', 'mk', 'remk', 'ctwav']",2,1,77,598357,17.51054852320675,25
21,"['rerp', 'trrp', 'gas', 'regas', 'trgas', 'gad', 'regad', 'trmk']",3,2,33,835333,16.455696202531644,65
22,"['rerp', 'regas', 'trgas', 'regad', 'mk', 'remk', 'trmk']",3,2,13,148417,15.453586497890296,63
23,"['rp', 'trrp', 'gas', 'gad', 'trgad', 'ctwav']",4,3,56,12519413,14.451476793248945,55
24,"['rp', 'trrp', 'regad', 'remk', 'ctwav']",2,1,52,273286,17.985232067510548,25
25,"['rerp', 'gas', 'regas', 'trgas', 'gad', 'trgad', 'mk', 'trmk']",4,3,96,36689151,13.238396624472573,56
26,"['rerp', 'trrp', 'regas', 'trgas', 'trgad', 'remk', 'trmk']",2,1,75,576480,18.670886075949365,26
27,"['rp', 'gas', 'gad', 'regad', 'mk', 'ctwav']",4,2,31,2971543,14.873417721518987,39
28,"['rerp', 'trrp', 'gas', 'trgas', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",4,3,17,1315968,14.556962025316455,128
29,"['rp', 'regas', 'gad', 'trmk']",3,2,61,2719327,16.61392405063291,28
30,"['rp', 'trrp', 'gas', 'regas', 'mk', 'remk', 'trmk']",3,3,83,6918384,16.666666666666668,41
31,"['rerp', 'trgas', 'gad', 'regad', 'trgad', 'ctwav']",2,1,39,167549,17.40506329113924,25
32,"['rp', 'rerp', 'trrp', 'trgas', 'remk', 'trmk', 'ctwav']",4,3,13,800239,13.291139240506329,120
33,"['gas', 'regas', 'gad', 'regad', 'trgad', 'mk']",3,2,54,2073071,13.50210970464135,29
34,"['trrp', 'regas', 'regad', 'trgad', 'remk']",3,3,76,5662894,14.767932489451477,40
35,"['rp', 'rerp', 'gas', 'trgas', 'gad', 'mk', 'trmk', 'ctwav']",2,1,35,140934,17.77426160337553,26
36,"['trrp', 'gas', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",2,1,48,239115,17.563291139240505,26
37,"['rp', 'rerp', 'regas', 'trgas', 'gad', 'regad']",4,3,89,32246700,14.715189873417721,55
38,"['rp', 'rerp', 'trrp', 'gas', 'regas', 'trgas', 'regad', 'mk', 'remk']",2,1,68,471874,18.9873417721519,27
39,"['gad', 'trgad', 'trmk', 'ctwav']",4,2,27,2277265,13.238396624472573,38
40,"['gas', 'regad', 'remk', 'trmk', 'ctwav']",2,1,81,659544,14.135021097046414,25
41,"['rp', 'rerp', 'trrp', 'regas', 'trgas', 'gad', 'trgad', 'mk']",3,2,40,1149939,16.139240506329113,65
42,"['rp', 'rerp', 'gas', 'regas', 'trgas', 'trgad', 'remk']",3,1,19,184274,17.40506329113924,37
43,"['trrp', 'gad', 'regad', 'mk', 'trmk', 'ctwav']",4,3,60,14364774,13.660337552742616,55
44,"['rp', 'rerp', 'trgas', 'regad', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",4,3,73,21832646,15.664556962025317,59
45,"['trrp', 'gas', 'regas', 'gad']",3,1,32,452543,14.609704641350211,37
46,"['regas', 'mk', 'remk']",3,3,54,2866857,12.078059071729959,40
47,"['rp', 'rerp', 'trrp', 'gas', 'trgas', 'gad', 'regad', 'trgad', 'trmk', 'ctwav']",2,2,95,1524279,16.033755274261605,21
48,"['rp', 'regas', 'trgas', 'mk', 'trmk', 'ctwav']",4,1,41,3141586,15.664556962025317,23
49,"['rerp', 'trrp', 'gas', 'gad', 'regad', 'trgad', 'remk']",3,3,85,7249257,16.666666666666668,41
50,"['rerp', 'regad', 'trgad', 'mk']",3,1,63,1771351,16.08649789029536,16
51,"['rp', 'trrp', 'gas', 'regas', 'trgas', 'gad', 'remk', 'trmk', 'ctwav']",2,2,20,76449,18.459915611814345,44
52,"['rerp', 'gas', 'regas', 'trgad', 'trmk', 'ctwav']",2,3,29,217335,17.563291139240505,61
53,"['rp', 'trrp', 'trgas', 'gad', 'regad', 'mk', 'remk']",4,2,72,14920491,15.137130801687764,39
54,"['rp', 'gas', 'trgas', 'regad']",2,3,93,2013259,14.873417721518987,27
55,"['rerp', 'trrp', 'regas', 'gad', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",4,1,50,4448526,15.242616033755274,25
56,"['rerp', 'trrp', 'gas', 'regas', 'regad', 'mk', 'trmk', 'ctwav']",2,2,58,566785,19.040084388185655,44
57,"['rp', 'trgas', 'gad', 'trgad', 'remk']",3,1,15,118787,15.189873417721518,37
58,"['rp', 'trrp', 'gas', 'trgas', 'trgad', 'mk']",2,3,36,309180,19.356540084388186,61
