,img_coding,num_layer,num_cell,start_cell_dim,parameter_num,acc,f-1_score,roc_auc_score,time
0,"['trrp', 'gas', 'regas', 'trgas', 'mk', 'ctwav']",4,1,92,14974509,79.83333333333333,0.7924775287081115,0,92
1,"['rp', 'rerp', 'gad', 'regad', 'trgad', 'remk', 'trmk']",3,2,50,1790134,76.83333333333333,0.7610933751491028,0,104
2,"['rp', 'rerp', 'trrp', 'gas', 'regad', 'trgad', 'mk', 'trmk']",3,2,29,657974,75.66666666666667,0.7489318624421599,0,178
3,"['regas', 'trgas', 'gad', 'remk', 'ctwav']",2,3,70,1132466,75.16666666666667,0.7490710581900514,0,98
4,"['rp', 'rerp', 'trrp', 'regas', 'trgad', 'ctwav']",2,2,63,684124,74.0,0.7281594710276278,0,121
5,"['gas', 'trgas', 'gad', 'regad', 'mk', 'remk', 'trmk']",4,1,22,882320,75.83333333333333,0.7480147949832631,0,147
6,"['trrp', 'trgas', 'regad', 'trmk']",2,3,43,454855,68.66666666666667,0.6866320154347479,0,169
7,"['rp', 'rerp', 'gas', 'regas', 'gad', 'trgad', 'mk', 'remk', 'ctwav']",4,2,84,20322810,80.16666666666667,0.7967535624787611,0,121
8,"['rp', 'rerp', 'regas', 'regad', 'mk', 'ctwav']",2,3,24,143442,60.833333333333336,0.580959242899937,0,147
9,"['trrp', 'gas', 'trgas', 'gad', 'trgad', 'remk', 'trmk']",4,2,65,12565898,79.83333333333333,0.7925383813874862,0,110
10,"['trgas', 'trgad', 'mk', 'trmk']",2,3,86,1693936,76.0,0.7566581798049694,0,88
11,"['rp', 'rerp', 'trrp', 'gas', 'regas', 'gad', 'regad', 'remk', 'ctwav']",4,1,45,3784606,78.83333333333333,0.7811116327710418,0,90
12,"['gas', 'regas', 'trgas', 'regad', 'trgad', 'ctwav']",4,1,38,2587926,78.66666666666667,0.7800495290535447,0,80
13,"['rp', 'rerp', 'trrp', 'gad', 'mk', 'remk', 'trmk']",3,3,79,6290640,79.33333333333333,0.7863305243960109,0,108
14,"['rp', 'rerp', 'gas', 'trmk']",3,1,58,1466517,76.83333333333333,0.759397987818805,0,67
15,"['trrp', 'regas', 'trgas', 'gad', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",2,2,16,52084,51.166666666666664,0.4749878428606331,0,131
16,"['rerp', 'gas', 'trgas', 'remk', 'ctwav']",4,3,69,19551216,79.66666666666667,0.791377088190522,0,146
17,"['rp', 'trrp', 'regas', 'gad', 'regad', 'trgad', 'mk', 'trmk']",3,1,25,310597,74.16666666666667,0.7320229808733084,0,114
18,"['rp', 'gas', 'regas', 'regad', 'trgad', 'remk', 'trmk']",3,3,47,2286024,76.16666666666667,0.755177975466088,0,110
19,"['rerp', 'trrp', 'trgas', 'gad', 'mk', 'ctwav']",2,2,90,1331384,77.33333333333333,0.7648968623968624,0,68
20,"['rp', 'trgad', 'mk', 'remk', 'ctwav']",2,1,77,603292,71.5,0.7033716749333702,0,84
21,"['rerp', 'trrp', 'gas', 'regas', 'trgas', 'gad', 'regad', 'trmk']",3,2,33,840352,78.0,0.775896788248619,0,158
22,"['rerp', 'regas', 'trgas', 'regad', 'mk', 'remk', 'trmk']",3,2,13,150496,64.16666666666667,0.6313102745830569,0,158
23,"['rp', 'trrp', 'gas', 'gad', 'trgad', 'ctwav']",4,3,56,12537074,79.16666666666667,0.7838049411722404,0,149
24,"['rp', 'trrp', 'regad', 'remk', 'ctwav']",2,1,52,276583,66.16666666666667,0.6574996310026759,0,85
25,"['rerp', 'gas', 'regas', 'trgas', 'gad', 'trgad', 'mk', 'trmk']",4,3,96,36719412,80.33333333333333,0.7974418209879239,0,150
